Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros accesos,Total accesos,Mbps (Media de bajada),Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras velocidades,Total velocidades
2019,2,La Pampa,19471.0,52101.0,4840.0,10.789,3.004,90205.0,5.49,77.08,236.0,3.289,75406.0,5.191,1.366,1.445,629.0,2.661,90223.0
2019,2,La Rioja,15014.0,34984.0,11.0,251.0,41.0,50301.0,7.89,48.7,9.0,11.0,39819.0,4.297,4.857,13.0,1298.0,,50304.0
2019,2,Mendoza,148673.0,54027.0,6865.0,12.748,1.544,223857.0,6.03,40.75,20.0,2.522,205165.0,2.971,10.092,1.256,234.0,,222260.0
2019,2,Misiones,55373.0,64272.0,543.0,421.0,12.269,132878.0,14.5,39.15,47.0,2.226,45769.0,27.385,15.408,18.882,8129.0,12.206,130052.0
2019,2,Neuquén,43420.0,59021.0,4983.0,12.792,2.737,122953.0,17.24,63.08,302.0,3.038,61776.0,4.688,17.318,21.21,14132.0,422.0,122886.0
2019,2,Río Negro,67841.0,36527.0,4037.0,10.485,19.657,138547.0,11.63,61.09,384.0,1.354,86366.0,2.201,10.291,12.407,6907.0,18.519,138429.0
2019,2,Salta,68827.0,62343.0,725.0,1.21,9.463,142568.0,12.55,41.89,49.0,974.0,59638.0,36.923,16.961,14.059,6461.0,7.585,142650.0
2019,2,San Juan,51680.0,7425.0,1174.0,2.87,6.876,70025.0,6.12,35.6,22.0,213.0,60913.0,2.177,785.0,7.0,4.0,6.119,70240.0
2019,2,San Luis,11130.0,10298.0,347.0,57.242,38.368,117385.0,19.88,81.79,57.0,102.0,16575.0,4.964,467.0,57.236,5.0,37.977,117383.0
2019,2,Santa Cruz,10665.0,10257.0,379.0,6.514,2.735,30550.0,6.01,28.85,25.0,84.0,24861.0,3.806,1.202,28.0,4.0,,30010.0
2019,2,Santa Fe,325420.0,355140.0,18236.0,21.98,22.708,743484.0,15.07,67.42,321.0,8.427,300124.0,125.176,129.741,100.131,49865.0,22.323,736108.0
2019,2,Santiago Del Estero,24393.0,64783.0,219.0,2.759,34.6,126754.0,7.1,52.79,39.0,1.832,63268.0,21.362,3.741,108.0,1205.0,34.501,126056.0
2019,2,Tierra Del Fuego,19790.0,25527.0,651.0,0.0,1.486,47454.0,6.34,94.8,6.0,123.0,41824.0,4.241,1.573,96.0,32.0,,47895.0
2019,2,Tucumán,153121.0,12089.0,116.0,684.0,321.0,166331.0,18.53,40.14,16.0,157.0,78891.0,44.296,24.291,628.0,18394.0,,166673.0
2019,3,Buenos Aires,1277249.0,2144956.0,425386.0,85.572,27.07,3960233.0,25.68,69.36,238.92,44.648,1432722.0,222.812,260.506,483.572,1246209.0,42.294,3971683.0
2019,3,Capital Federal,300288.0,1080973.0,24900.0,3.895,31.155,1441211.0,38.71,112.65,104.0,368.0,269704.0,120.924,138.011,258.591,655108.0,0.0,1442810.0
2019,3,Catamarca,24349.0,5543.0,13.0,244.0,2.251,32400.0,9.29,30.88,34.0,43.0,14449.0,9.285,6.333,72.0,15.0,2.151,32382.0
2019,3,Chaco,50416.0,49156.0,8063.0,5.224,1.592,114451.0,19.99,35.85,69.0,1.216,32764.0,28.198,13.336,12.987,16740.0,6.917,112227.0
2019,3,Chubut,37298.0,27090.0,1917.0,15.149,7.551,89005.0,6.97,47.57,74.0,840.0,62680.0,13.033,7.171,1.24,614.0,4.5,90152.0
2019,3,Corrientes,53344.0,50230.0,1888.0,2.458,4.839,112759.0,16.7,38.49,10.0,597.0,42231.0,29.628,10.348,10.388,12674.0,4.78,110656.0
2019,3,Córdoba,307780.0,399231.0,30064.0,37.277,8.701,783053.0,23.19,68.59,83.0,5.824,240151.0,106.651,118.486,146.247,157546.0,7.353,782341.0
2019,3,Entre Ríos,94947.0,96305.0,12888.0,18.53,15.432,238102.0,14.7,57.9,19.0,4.446,99656.0,56.161,17.064,21.216,22645.0,15.107,236314.0
2019,3,Formosa,21777.0,8359.0,1476.0,14.292,162.0,46066.0,13.22,30.11,1.11,349.0,24943.0,6.049,7.117,2.262,4443.0,100.0,46373.0
2019,3,Jujuy,33110.0,35742.0,274.0,812.0,16.638,86576.0,11.97,44.32,27.0,885.0,31722.0,9.24,26.835,56.0,3671.0,16.545,88981.0
2019,3,La Pampa,19469.0,52941.0,4994.0,11.462,1.962,90828.0,5.72,77.45,237.0,3.289,75849.0,5.922,1.611,1.359,941.0,1.618,90826.0
2019,3,La Rioja,14390.0,34984.0,11.0,251.0,41.0,49677.0,8.0,47.94,9.0,10.0,38657.0,4.786,4.887,22.0,1307.0,0.0,49678.0
2019,3,Mendoza,148640.0,54312.0,6865.0,12.975,1.545,224337.0,6.11,40.74,21.0,1.269,206821.0,2.958,10.093,1.263,349.0,0.0,222774.0
2019,3,Misiones,54493.0,65872.0,829.0,419.0,12.27,133883.0,17.93,39.33,47.0,1.928,43530.0,29.375,11.256,16.107,16650.0,12.206,131099.0
2019,3,Neuquén,43347.0,60484.0,5560.0,13.512,2.518,125421.0,23.75,64.14,45.0,2.258,62909.0,4.586,9.597,16.923,28458.0,122.0,124898.0
2019,3,Río Negro,67478.0,37425.0,9739.0,10.806,18.847,144295.0,15.98,63.42,47.0,1.234,87435.0,2.348,9.779,10.176,15505.0,17.719,144243.0
2019,3,Salta,65799.0,74329.0,733.0,1.58,9.394,151835.0,14.75,44.48,49.0,900.0,43160.0,62.23,14.309,11.418,12357.0,7.515,151938.0
2019,3,San Juan,51670.0,7425.0,1227.0,7.241,5.535,73098.0,6.04,37.06,22.0,171.0,68315.0,2.245,1.267,41.0,128.0,4.779,76968.0
2019,3,San Luis,13037.0,10561.0,350.0,62.286,36.466,122700.0,19.74,85.23,57.0,100.0,18643.0,5.113,467.0,62.242,5.0,36.075,122702.0
2019,3,Santa Cruz,10663.0,17056.0,969.0,6.544,2.738,37970.0,5.02,35.63,28.0,84.0,31612.0,4.472,1.203,27.0,4.0,0.0,37430.0
2019,3,Santa Fe,319396.0,377171.0,18690.0,24.269,21.408,760934.0,18.17,68.87,640.0,8.184,242454.0,193.286,107.068,84.325,97082.0,19.537,752576.0
2019,3,Santiago Del Estero,24556.0,71198.0,219.0,2.759,34.4,133132.0,9.39,55.3,39.0,1.832,35554.0,55.172,3.612,86.0,1836.0,34.501,132632.0
